rank,Video,Video views,Likes,Dislikes,Category,published
1,Rehber Yazılım - İleri Seviye Python Programlama Kursu,"54,071,677","3,497,955","78,799",Software,2025
2,"20 Tennis shots if they were not filmed, NOBODY would believe them","3,471,237","19,023",859,,2017
3,JoJo Siwa - Karma (Official Video),"34,206,747","293,563",,Music,2024
4,David Kushner - Daylight (Official Music Video),"18,558,390","680,732",,Music,2023
5,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"6,547,981,039","44,428,537",,Music,2015
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,"76,834,495","804,353","21,195",Music,2019
7,JENNIE - ZEN (RUBY ALBUM MARCH 7),"8,306,465","1,261,577",,Music,2025
8,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)","7,396,199","320,910","6,485",Music,2020
9,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal","13,894,905","452,087",,Music,2023
10,JD Pantoja - 12•19 (Official Video),"7,010,732","1,027,392","34,185",Music,2020
11,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,"96,686","1,007",82,Entertainment,2018
12,Rels B - LA LATINA (Videoclip Oficial),"5,851,411","155,543","3,504",Music,2019
13,"Luck Ra, Nicki Nicole - DOCTOR","8,286,096","149,421",,Music,2024
14,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)","6,953,838","116,350","2,059",Music,2021
15,Polo G - Flex (Official Audio) ft. Juice WRLD,"3,845,186","122,706","1,305",Music,2020
16,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)","5,756,535","111,266",,Music,2024
17,LILHUDDY - America's Sweetheart (Official Music Video),"3,086,667","346,074","12,082",Music,2021
18,MILLION DOLLAR BABY,"11,894,076","226,375",,Music,2024
19,Every Moment With You (너와의 모든 지금),"7,958,181","54,903",,Music,2024
20,Jay Wheeler - Te La Dedico / For You (Official Video),"13,764,098","111,497",,Music,2023
21,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),"2,279,833","168,798",,Music,2024
22,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)","1,677,733","211,037","7,579",Music,2021
23,Polo G - Be Something (Official Audio) ft. Lil Baby,"2,692,740","99,982","2,393",Music,2020
24,TEST γιανα δεις αν έχεις καλά ματιά,"699,382","8,436","1,756",People & Blogs,2017
25,"GabyMusic,AnuelAA,LuarLa,Lunay,Bryant Myers - No Te Quieren Conmigo(Remix)","5,461,432","159,823",,Music,2024
26,Olivia Rodrigo - drivers license (Official Video),"68,224,979","3,810,456","48,539",Music,2021
27,Libianca - People (Visualiser) ft. Becky G,"5,353,676","113,198",,Music,2023
28,Sofia Castro - Bien Por Ti (Official Video),"3,416,695","204,468",,Music,2022
29,Вкладчикам Югры в Центробанке не рады,"204,782","5,352",63,News & Politics,2017
30,Kodak Black - Hit Stick,"2,032,486","87,384",,Music,2024
31,Jay Wheeler - Xexo (Official Video),"5,038,848","93,112",,Music,2023
32,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz","1,090,948,051","9,015,394",,People & Blogs,2018
33,Ice Spice - in ha mood (Official Video),"3,725,161","160,883",,Music,2023
34,JD Pantoja - 12•19 (Trailer),"2,144,710","317,352","8,155",Music,2020
35,PUN - DAY ONE,"4,669,546","95,387",,Music,2024
36,Beéle - Si Te Interesa (Official Video),"1,450,005","94,228","1,067",Music,2021
37,[Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video),"13,933,735","441,696",,Music,2024
38,Mulatto - No Hook (Official Video),"2,138,136","123,687","1,793",Music,2020
39,"Asake, Central Cee - Wave (Official Video)","10,779,032","287,616",,Music,2024
40,Aitch - Safe To Say,"1,330,363","84,759","1,749",Music,2020
41,Destroy Lonely - Look Killa (Short Film) (Short Film),"1,194,149","89,811",,Music,2023
42,Cat mom hugs baby kitten,"59,857,489","347,772","8,212",Pets & Animals,2011
43,"Alex Ponce, BLANKO - La Sin Sentimientos (Official Video)","2,443,713","88,475",,Music,2024
44,Addison Rae - Aquamarine (Official Video),"2,641,333","135,303",,Music,2024
45,ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video,"4,645,815","93,750",,Music,2022
46,Natalie Jane - AVA (Lyric Video),"1,592,225","59,621",,Music,2022
47,紫 今 - 魔性の女A　Lyric Video,"1,581,463","61,186",,Music,2024
48,Bunny Girl,"2,126,674","81,236",,Music,2024
49,Morray - Trenches (Official Music Video),"1,352,140","58,129","1,051",Music,2021
50,Luke Hemmings - Starting Line (Official Video),"635,002","129,469",179,Music,2021
51,"UMI, V - wherever u r (ft. V of BTS) official lyric video","4,273,176","521,085",,Music,2023
52,"Si, Si Eres Tu","10,363,316","337,066",,Music,2023
53,7liwa - Rwicha (Official Music Video),"1,662,974","45,556",,Music,2024
54,Kim Petras & Nicki Minaj - Alone (Official Music Video),"12,935,167","279,649",,Music,2023
55,Eden Muñoz - ¿CÓMO TE FUE SIN MÍ?,"1,847,580","32,324",,Music,2024
56,"Camilo, Pedro Capó - Tutu (Official Video)","1,520,641","319,573","2,361",Music,2019
57,Trueno - REAL GANGSTA LOVE (Visualizer),"3,079,234","109,936",,Music,2024
58,Rhapsody of Sadness,"3,409,906","18,968",,Music,2023
59,Dani Ribba - Solo Una Vez (Official Video),"473,979","107,663",263,Music,2021
60,Roger Federer / Bill Gates vs John Isner / Mike McCready - Match for Africa 4 Highlights,"514,694","2,742",69,Sports,2017
61,"Pedro Capó, Farruko - Calma (Remix - Official Video)","2,964,195,014","13,755,637",,Music,2018
62,Chica Atractiva,"2,638,356","33,875",,Music,2025
63,SuperM - With You,"730,744","215,534",379,Music,2020
64,"Eladio Carrión - Quizás, Tal Vez (Live Session) | Vevo ctrl","4,196,300","56,077",,Music,2023
65,Lil Kee - What You Sayin ft. Lil Baby,"2,716,318","83,058",,Music,2022
66,Trueno - RAIN III (Visualizer),"2,157,197","129,977",,Music,2024
67,Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,"2,472,045","28,842","1,204",Sports,2017
68,Totti with a funny penalty,"8,353,318","5,613","1,082",Sports,2007
69,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz - ETA RMX","9,140,994","179,818",,Music,2024
70,JoJo Siwa - Guilty Pleasure (Official Music Video),"3,870,451","39,264",,Music,2024
71,"Rema, Shallipopi - BENIN BOYS","3,795,164","112,684",,Music,2024
72,Remember Me (기억해줘요 내 모든 날과 그때를),"5,272,487","20,088",,Music,2024
73,Можно я с тобой (can i come with you),"2,218,610","92,278",,Music,2024
74,Isadora Pompeo - Ovelhinha (Ao Vivo),"2,934,585","66,830",,Music,2024
75,新時代 (ウタ from ONE PIECE FILM RED),"4,321,634","156,105",,Music,2022
76,Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa,"3,824,053","36,936",,Music,2023
77,La nevedere,"2,960,493","22,343",,Music,2022
78,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,"5,767,744","98,070",,Music,2022
79,"ILLENIUM, Jon Bellion - Good Things Fall Apart (Lyric Video)","3,474,334","108,128","1,292",Music,2019
80,"Chencho Corleone, Peso Pluma - HUMO (Official Video)","8,915,202","199,564",,Music,2024
81,we were in love (2024) (... 사랑했잖아... (2024)),"3,630,534","22,217",,Music,2024
82,"Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)","3,264,026","58,596",,Music,2023
83,"Jay Wheeler, Anuel AA, Hades66 - Pacto (Remix) (Official Video) ft. Bryant Myers, Dei V","16,651,507","517,095",,Music,2023
84,Aslay feat. Harmonize - Follow Me (Official Music Video),"1,397,658","44,137",,Music,2022
85,Eden Muñoz - todo me vale madre,"1,144,941","30,525",,Music,2024
86,ROSONES,"1,143,334","27,036",,Music,2024
87,Chlöe - Have Mercy (Official Video),"1,329,956","192,472","2,173",Music,2021
88,Sofia Castro - Te Juro No Te Miento (Official Video),"2,581,581","135,813",,Music,2024
89,Chema Rivas - LA ROJA (CANCIÓN MUNDIAL) (Video Oficial),"726,826","39,271",,Music,2022
90,Lil Loaded ft. YG - “Gang Unit Remix” (Official Video),"1,736,200","127,492","1,363",Music,2020
91,Ice Spice & Nicki Minaj - Princess Diana (Official Music Video),"45,990,411","1,128,880",,Music,2023
92,"Jay Wheeler, Dei V, Hades66 - Pacto (Official Video) ft. Luar La L","20,502,045","180,683",,Music,2023
93,MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video],"3,266,571","920,096","5,819",Music,2020
94,Teresa & Maria,"11,757,639","160,328",,Music,2024
95,Fedez - Prima di ogni cosa (Official Video),"4,833,788","202,477","7,131",Music,2018
96,"SEVDALIZA - ALIBI | Live From Vevo Studios ft. PABLLO VITTAR, YSEULT","5,368,532","223,418",,Music,2024
97,Luck Ra - ROBAME UN BESO (Official Video),"1,891,707","41,102",,Music,2024
98,AIELLO - ORA (Official Video - Sanremo 2021),"1,132,390","23,083",887,Music,2021
99,JADE - Angel Of My Dreams (Official Video),"5,396,154","214,969",,Music,2024
